ST,State,Population.Black,Population.White,Deaths.homicide.Black,Deaths.homicide.White,crude.homicide.Black,crude.homicide.White,adjusted.homicide.Black,adjusted.homicide.White,Deaths.suicide.Black,Deaths.suicide.White,crude.suicide.Black,crude.suicide.White,adjusted.suicide.Black,adjusted.suicide.White,type,crude.RD.suicide,adj.RD.suicide,crude.RD.homicide,adj.RD.homicide,ST.order.RD.homicide,ST.order.RD.suicide,gun.house.prev,gun.house.prev.category,average.pop.white,average.pop.black,type.fac
LA,Louisiana,6370861,12294807,2860,497,44.89,4.04,42.91,4.06,379,2505,5.95,20.37,6.37,19.51,Firearm,-14.420000000000002,-13.14,40.85,38.849999999999994,LA,LA,45,45.0%-65.5%,1366089.6666666667,707873.4444444445,Firearm-related
LA,Louisiana,6370861,12294807,214,124,3.36,1.01,3.55,0.96,209,1000,3.28,8.13,3.42,8.1,Non-Firearm,-4.850000000000001,-4.68,2.3499999999999996,2.59,LA,LA,45,45.0%-65.5%,1366089.6666666667,707873.4444444445,Firearm-unrelated
MA,Massachusetts,2032556,22106492,394,136,19.38,0.62,16.84,0.63,33,928,1.62,4.2,1.79,3.82,Firearm,-2.58,-2.03,18.759999999999998,16.21,MA,MA,11.5,10.2%-19.9%,2456276.888888889,225839.55555555556,Firearm-related
MA,Massachusetts,2032556,22106492,76,97,3.74,0.44,3.42,0.46,129,2613,6.35,11.82,6.26,11.18,Non-Firearm,-5.470000000000001,-4.92,3.3000000000000003,2.96,MA,MA,11.5,10.2%-19.9%,2456276.888888889,225839.55555555556,Firearm-unrelated
MD,Maryland,7388141,14125351,2389,182,32.34,1.29,31.07,1.36,318,1650,4.3,11.68,4.54,10.61,Firearm,-7.38,-6.069999999999999,31.050000000000004,29.71,MD,MD,21.7,20.0%-34.9%,1569483.4444444445,820904.5555555555,Firearm-related
MD,Maryland,7388141,14125351,263,86,3.56,0.61,3.47,0.6,354,1428,4.79,10.11,4.78,9.72,Non-Firearm,-5.319999999999999,-4.94,2.95,2.87,MD,MD,21.7,20.0%-34.9%,1569483.4444444445,820904.5555555555,Firearm-unrelated
ME,Maine,100822,5564557,NA,70,NA,1.26,NA,1.29,NA,888,NA,15.96,NA,14.59,Firearm,NA,NA,NA,NA,ME,ME,40.3,35.0%-44.9%,618284.1111111111,11202.444444444445,Firearm-related
ME,Maine,100822,5564557,NA,35,NA,0.63,NA,0.64,NA,585,NA,10.51,NA,10.27,Non-Firearm,NA,NA,NA,NA,ME,ME,40.3,35.0%-44.9%,618284.1111111111,11202.444444444445,Firearm-unrelated
MI,Michigan,6213070,33919566,3119,489,50.2,1.44,49.14,1.52,382,4602,6.15,13.57,6.66,12.76,Firearm,-7.42,-6.1,48.760000000000005,47.62,MI,MI,40.8,35.0%-44.9%,3768840.6666666665,690341.1111111111,Firearm-related
MI,Michigan,6213070,33919566,249,187,4.01,0.55,4.14,0.56,290,3462,4.67,10.21,4.74,10.16,Non-Firearm,-5.540000000000001,-5.42,3.46,3.5799999999999996,MI,MI,40.8,35.0%-44.9%,3768840.6666666665,690341.1111111111,Firearm-unrelated
MN,Minnesota,1473393,19969410,247,149,16.76,0.75,15.28,0.75,51,2360,3.46,11.82,3.95,11.17,Firearm,-8.36,-7.22,16.01,14.53,MN,MN,41.2,35.0%-44.9%,2218823.3333333335,163710.33333333334,Firearm-related
MN,Minnesota,1473393,19969410,25,54,1.7,0.27,1.68,0.24,113,1888,7.67,9.45,7.6,9.19,Non-Firearm,-1.7799999999999994,-1.5899999999999999,1.43,1.44,MN,MN,41.2,35.0%-44.9%,2218823.3333333335,163710.33333333334,Firearm-unrelated
MO,Missouri,3128851,21712046,1962,580,62.71,2.67,59.42,2.77,215,3931,6.87,18.11,7.34,17.25,Firearm,-11.239999999999998,-9.91,60.04,56.65,MO,MO,44.2,35.0%-44.9%,2412449.5555555555,347650.1111111111,Firearm-related
MO,Missouri,3128851,21712046,115,210,3.68,0.97,3.86,0.99,135,2255,4.31,10.39,4.43,10.54,Non-Firearm,-6.080000000000001,-6.109999999999999,2.71,2.87,MO,MO,44.2,35.0%-44.9%,2412449.5555555555,347650.1111111111,Firearm-unrelated
MS,Mississippi,4726959,7652188,191,86,4.04,1.12,4.23,1.15,131,639,2.77,8.35,2.83,8.56,Non-Firearm,-5.58,-5.73,2.92,3.0800000000000005,MS,MS,54.6,45.0%-65.5%,850243.1111111111,525217.6666666666,Firearm-unrelated
MS,Mississippi,4726959,7652188,1343,363,28.41,4.74,28.11,4.79,273,1751,5.78,22.88,6.24,21.89,Firearm,-17.099999999999998,-15.65,23.67,23.32,MS,MS,54.6,45.0%-65.5%,850243.1111111111,525217.6666666666,Firearm-related
MT,Montana,40468,4037254,NA,37,NA,0.92,NA,0.97,NA,435,NA,10.77,NA,10.72,Non-Firearm,NA,NA,NA,NA,MT,MT,62.6,45.0%-65.5%,448583.77777777775,4496.444444444444,Firearm-unrelated
MT,Montana,40468,4037254,NA,78,NA,1.93,NA,2.03,NA,1048,NA,25.96,NA,24.29,Firearm,NA,NA,NA,NA,MT,MT,62.6,45.0%-65.5%,448583.77777777775,4496.444444444444,Firearm-related
NC,North Carolina,9011509,28055881,1970,806,21.86,2.87,21.2,2.89,457,4878,5.07,17.39,5.22,16.09,Firearm,-12.32,-10.870000000000001,18.99,18.31,NC,NC,39.4,35.0%-44.9%,3117320.111111111,1001278.7777777778,Firearm-related
NC,North Carolina,9011509,28055881,235,195,2.61,0.7,2.67,0.68,320,2567,3.55,9.15,3.62,9.01,Non-Firearm,-5.6000000000000005,-5.39,1.91,1.9899999999999998,NC,NC,39.4,35.0%-44.9%,3117320.111111111,1001278.7777777778,Firearm-unrelated
ND,North Dakota,74752,2855006,NA,33,NA,1.16,NA,1.16,NA,486,NA,17.02,NA,16.36,Firearm,NA,NA,NA,NA,ND,ND,56.2,45.0%-65.5%,317222.8888888889,8305.777777777777,Firearm-related
ND,North Dakota,74752,2855006,NA,NA,NA,NA,NA,NA,NA,246,NA,8.62,NA,8.6,Non-Firearm,NA,NA,NA,NA,ND,ND,56.2,45.0%-65.5%,317222.8888888889,8305.777777777777,Firearm-unrelated
NE,Nebraska,434055,6767476,190,91,43.77,1.34,40.68,1.39,23,869,5.3,12.84,5.64,12.48,Firearm,-7.54,-6.840000000000001,42.43,39.29,NE,NE,45.4,45.0%-65.5%,751941.7777777778,48228.333333333336,Firearm-related
NE,Nebraska,434055,6767476,11,40,NA,0.59,NA,0.59,28,533,6.45,7.88,5.86,7.81,Non-Firearm,-1.4299999999999997,-1.9499999999999993,NA,NA,NE,NE,45.4,45.0%-65.5%,751941.7777777778,48228.333333333336,Firearm-unrelated
NH,New Hampshire,93108,5441203,NA,44,NA,0.81,NA,0.79,NA,742,NA,13.64,NA,12.66,Firearm,NA,NA,NA,NA,NH,NH,31,20.0%-34.9%,604578.1111111111,10345.333333333334,Firearm-related
NH,New Hampshire,93108,5441203,NA,29,NA,0.53,NA,0.53,NA,646,NA,11.87,NA,11.45,Non-Firearm,NA,NA,NA,NA,NH,NH,31,20.0%-34.9%,604578.1111111111,10345.333333333334,Firearm-unrelated
NJ,New Jersey,4999341,22826317,1688,140,33.76,0.61,31.69,0.65,110,1284,2.2,5.63,2.32,4.95,Firearm,-3.4299999999999997,-2.6300000000000003,33.15,31.040000000000003,NJ,NJ,11.4,10.2%-19.9%,2536257.4444444445,555482.3333333334,Firearm-related
NJ,New Jersey,4999341,22826317,172,83,3.44,0.36,3.39,0.36,239,2582,4.78,11.31,4.68,10.77,Non-Firearm,-6.53,-6.09,3.08,3.0300000000000002,NJ,NJ,11.4,10.2%-19.9%,2536257.4444444445,555482.3333333334,Firearm-unrelated
NM,New Mexico,218820,3720251,43,144,19.65,3.87,18.44,4.26,26,1101,11.88,29.59,11.43,25.97,Firearm,-17.71,-14.54,15.779999999999998,14.180000000000001,NM,NM,39.7,35.0%-44.9%,413361.22222222225,24313.333333333332,Firearm-related
NM,New Mexico,218820,3720251,11,34,NA,0.91,NA,0.96,11,508,NA,13.65,NA,13.36,Non-Firearm,NA,NA,NA,NA,NM,NM,39.7,35.0%-44.9%,413361.22222222225,24313.333333333332,Firearm-unrelated
NV,Nevada,1109000,6887626,269,215,24.26,3.12,23.03,3.22,91,1896,8.21,27.53,8.75,24.21,Firearm,-19.32,-15.46,21.14,19.810000000000002,NV,NV,34,20.0%-34.9%,765291.7777777778,123222.22222222222,Firearm-related
NV,Nevada,1109000,6887626,43,72,3.88,1.05,3.8,0.99,66,1169,5.95,16.97,5.97,15.59,Non-Firearm,-11.02,-9.620000000000001,2.83,2.8099999999999996,NV,NV,34,20.0%-34.9%,765291.7777777778,123222.22222222222,Firearm-unrelated
NY,New York,12326076,49966278,2445,392,19.84,0.78,18.43,0.8,240,3413,1.95,6.83,2.05,6.13,Firearm,-4.88,-4.08,19.06,17.63,NY,NY,18.5,10.2%-19.9%,5551808.666666667,1369564,Firearm-related
NY,New York,12326076,49966278,520,251,4.22,0.5,4.06,0.53,639,5089,5.18,10.18,5.14,9.65,Non-Firearm,-5,-4.510000000000001,3.7199999999999998,3.5299999999999994,NY,NY,18.5,10.2%-19.9%,5551808.666666667,1369564,Firearm-unrelated
OH,Ohio,6436285,41547343,2449,744,38.05,1.79,37.15,1.83,415,5480,6.45,13.19,6.91,12.47,Firearm,-6.739999999999999,-5.5600000000000005,36.26,35.32,OH,OH,34,20.0%-34.9%,4616371.444444444,715142.7777777778,Firearm-related
OH,Ohio,6436285,41547343,202,268,3.14,0.65,3.28,0.64,307,4125,4.77,9.93,4.88,9.88,Non-Firearm,-5.16,-5.000000000000001,2.49,2.6399999999999997,OH,OH,34,20.0%-34.9%,4616371.444444444,715142.7777777778,Firearm-unrelated
OK,Oklahoma,1412148,11933482,517,494,36.61,4.14,34.67,4.3,122,2719,8.64,22.78,9.25,21.52,Firearm,-14.14,-12.27,32.47,30.37,OK,OK,46.5,45.0%-65.5%,1325942.4444444445,156905.33333333334,Firearm-related
OK,Oklahoma,1412148,11933482,57,138,4.04,1.16,4.19,1.21,65,1337,4.6,11.2,4.7,11.35,Non-Firearm,-6.6,-6.6499999999999995,2.88,2.9800000000000004,OK,OK,46.5,45.0%-65.5%,1325942.4444444445,156905.33333333334,Firearm-unrelated
OR,Oregon,421612,13755898,16,105,NA,0.76,NA,0.74,23,1703,5.46,12.38,5.48,11.95,Non-Firearm,-6.920000000000001,-6.469999999999999,NA,NA,OR,OR,39.8,35.0%-44.9%,1528433.111111111,46845.77777777778,Firearm-unrelated
OR,Oregon,421612,13755898,62,239,14.71,1.74,13.48,1.7,28,2711,6.64,19.71,6.71,17.88,Firearm,-13.07,-11.169999999999998,12.97,11.780000000000001,OR,OR,39.8,35.0%-44.9%,1528433.111111111,46845.77777777778,Firearm-related
PA,Pennsylvania,6106943,44444601,2876,627,47.09,1.41,43.32,1.47,309,6377,5.06,14.35,5.28,13.02,Firearm,-9.29,-7.739999999999999,45.68000000000001,41.85,PA,PA,35.1,35.0%-44.9%,4938289,678549.2222222222,Firearm-related
PA,Pennsylvania,6106943,44444601,223,227,3.65,0.51,3.73,0.53,327,4773,5.35,10.74,5.43,10.41,Non-Firearm,-5.390000000000001,-4.98,3.1399999999999997,3.2,PA,PA,35.1,35.0%-44.9%,4938289,678549.2222222222,Firearm-unrelated
RI,Rhode Island,294346,3497222,NA,13,NA,NA,NA,NA,19,514,NA,14.7,NA,13.84,Non-Firearm,NA,NA,NA,NA,RI,RI,12.4,10.2%-19.9%,388580.22222222225,32705.11111111111,Firearm-unrelated
RI,Rhode Island,294346,3497222,33,27,11.21,0.77,9.51,0.77,NA,225,NA,6.43,NA,5.82,Firearm,NA,NA,10.440000000000001,8.74,RI,RI,12.4,10.2%-19.9%,388580.22222222225,32705.11111111111,Firearm-related
SC,South Carolina,5607563,13495970,1397,495,24.91,3.67,24.35,3.76,335,2839,5.97,21.04,6.15,19.34,Firearm,-15.07,-13.19,21.240000000000002,20.590000000000003,SC,SC,43.3,35.0%-44.9%,1499552.2222222222,623062.5555555555,Firearm-related
SC,South Carolina,5607563,13495970,158,140,2.82,1.04,2.97,1.04,176,1225,3.14,9.08,3.25,9.07,Non-Firearm,-5.9399999999999995,-5.82,1.7799999999999998,1.9300000000000002,SC,SC,43.3,35.0%-44.9%,1499552.2222222222,623062.5555555555,Firearm-unrelated
SD,South Dakota,83159,3179410,NA,32,NA,1.01,NA,1.03,NA,498,NA,15.66,NA,15.21,Firearm,NA,NA,NA,NA,SD,SD,59.9,45.0%-65.5%,353267.77777777775,9239.888888888889,Firearm-related
SD,South Dakota,83159,3179410,NA,14,NA,NA,NA,NA,NA,299,NA,9.4,NA,9.57,Non-Firearm,NA,NA,NA,NA,SD,SD,59.9,45.0%-65.5%,353267.77777777775,9239.888888888889,Firearm-unrelated
TN,Tennessee,4705110,21539685,1677,708,35.64,3.29,33.42,3.29,323,4329,6.86,20.1,7.39,18.84,Firearm,-13.240000000000002,-11.45,32.35,30.130000000000003,TN,TN,46.6,45.0%-65.5%,2393298.3333333335,522790,Firearm-related
TN,Tennessee,4705110,21539685,145,161,3.08,0.75,3.12,0.76,145,2066,3.08,9.59,3.08,9.61,Non-Firearm,-6.51,-6.529999999999999,2.33,2.3600000000000003,TN,TN,46.6,45.0%-65.5%,2393298.3333333335,522790,Firearm-unrelated
TX,Texas,13548892,52441248,2694,1765,19.88,3.37,18.45,3.42,757,10495,5.59,20.01,5.78,18.7,Firearm,-14.420000000000002,-12.919999999999998,16.509999999999998,15.03,TX,TX,37.1,35.0%-44.9%,5826805.333333333,1505432.4444444445,Firearm-related
TX,Texas,13548892,52441248,357,455,2.63,0.87,2.64,0.86,537,5182,3.96,9.88,3.87,9.71,Non-Firearm,-5.920000000000001,-5.840000000000001,1.7599999999999998,1.7800000000000002,TX,TX,37.1,35.0%-44.9%,5826805.333333333,1505432.4444444445,Firearm-unrelated
US,United States,NA,NA,5687,6210,3.27,0.7,3.28,0.67,7585,96739,4.37,10.89,4.4,10.58,Non-Firearm,-6.5200000000000005,-6.18,2.5700000000000003,2.61,US,US,NA,NA,NA,NA,Firearm-unrelated
US,United States,NA,NA,53848,18427,31,2.07,29.12,2.1,8928,138607,5.14,15.6,5.41,14.34,Firearm,-10.46,-8.93,28.93,27.02,US,US,NA,NA,NA,NA,Firearm-related
UT,Utah,184880,10423834,14,108,NA,1.04,NA,1.07,NA,1979,NA,18.99,NA,20.49,Firearm,NA,NA,NA,NA,UT,UT,44.8,35.0%-44.9%,1158203.7777777778,20542.222222222223,Firearm-related
UT,Utah,184880,10423834,NA,39,NA,0.37,NA,0.37,15,1317,NA,12.63,NA,13.42,Non-Firearm,NA,NA,NA,NA,UT,UT,44.8,35.0%-44.9%,1158203.7777777778,20542.222222222223,Firearm-unrelated
VA,Virginia,6955870,23606339,1380,417,19.84,1.77,18.65,1.76,441,3992,6.34,16.91,6.72,15.86,Firearm,-10.57,-9.14,18.07,16.889999999999997,VA,VA,37.5,35.0%-44.9%,2622926.5555555555,772874.4444444445,Firearm-related
VA,Virginia,6955870,23606339,141,114,2.03,0.48,2,0.46,291,2177,4.18,9.22,4.13,8.94,Non-Firearm,-5.040000000000001,-4.81,1.5499999999999998,1.54,VA,VA,37.5,35.0%-44.9%,2622926.5555555555,772874.4444444445,Firearm-unrelated
VT,Vermont,41964,2636605,NA,28,NA,1.06,NA,1.03,NA,482,NA,18.28,NA,16.78,Firearm,NA,NA,NA,NA,VT,VT,43.8,35.0%-44.9%,292956.1111111111,4662.666666666667,Firearm-related
VT,Vermont,41964,2636605,NA,17,NA,NA,NA,NA,NA,268,NA,10.16,NA,9.9,Non-Firearm,NA,NA,NA,NA,VT,VT,43.8,35.0%-44.9%,292956.1111111111,4662.666666666667,Firearm-unrelated
WA,Washington,1464246,22711985,200,385,13.66,1.7,12.13,1.71,86,3466,5.87,15.26,5.82,14.15,Firearm,-9.39,-8.33,11.96,10.420000000000002,WA,WA,34,20.0%-34.9%,2523553.888888889,162694,Firearm-related
WA,Washington,1464246,22711985,26,153,1.78,0.67,1.94,0.67,79,2652,5.4,11.68,5.41,11.13,Non-Firearm,-6.279999999999999,-5.720000000000001,1.1099999999999999,1.27,WA,WA,34,20.0%-34.9%,2523553.888888889,162694,Firearm-unrelated
WI,Wisconsin,1694421,21311378,613,187,36.18,0.88,33.53,0.92,72,2937,4.25,13.78,4.53,12.91,Firearm,-9.53,-8.379999999999999,35.3,32.61,WI,WI,43,35.0%-44.9%,2367930.888888889,188269,Firearm-related
WI,Wisconsin,1694421,21311378,79,88,4.66,0.41,5.12,0.42,82,2190,4.84,10.28,4.44,10.06,Non-Firearm,-5.4399999999999995,-5.62,4.25,4.7,WI,WI,43,35.0%-44.9%,2367930.888888889,188269,Firearm-unrelated
WV,West Virginia,345076,7659353,83,283,24.05,3.69,22.31,3.91,24,1580,6.95,20.63,6.97,19.21,Firearm,-13.68,-12.240000000000002,20.36,18.4,WV,WV,58.5,45.0%-65.5%,851039.2222222222,38341.77777777778,Firearm-related
WV,West Virginia,345076,7659353,21,93,6.09,1.21,5.72,1.21,19,624,NA,8.15,NA,8.29,Non-Firearm,NA,NA,4.88,4.51,WV,WV,58.5,45.0%-65.5%,851039.2222222222,38341.77777777778,Firearm-unrelated
WY,Wyoming,42505,2250888,NA,16,NA,NA,NA,NA,NA,267,NA,11.86,NA,12.11,Non-Firearm,NA,NA,NA,NA,WY,WY,65.5,45.0%-65.5%,250098.66666666666,4722.777777777777,Firearm-unrelated
WY,Wyoming,42505,2250888,NA,47,NA,2.09,NA,2.13,NA,652,NA,28.97,NA,28.56,Firearm,NA,NA,NA,NA,WY,WY,65.5,45.0%-65.5%,250098.66666666666,4722.777777777777,Firearm-related
